Nummer;Navn;Svind;Energi, kJ;Energi, kcal;Nitrogen-til-protein faktor;Nitrogen, total;Protein, videnskabelig;Protein, deklaration;Kulhydrat, difference ;Kulhydrat, tilgængelig;Kulhydrat, deklaration;Tilsat sukker;Kostfibre;Fedt, total;FCF;Alkohol;Aske;Tørstof;Vand;A-vitamin;Retinol;D-vitamin;D3-vitamin;D2 ergocalciferol;25-hydroxy D3-vitamin;25-hydroxyergocalciferol;E-vitamin;alfa-tokoferol;gamma-tokoferol;delta-tokoferol;alfa-tokotrienol;K1-vitamin;B1-vitamin;thiamin;HET, hydroxyethylthiazole;B2-vitamin, riboflavin;Niacinækvivalent;Niacin;B6-vitamin;Pantothensyre;Biotin;Folat;Frit folat;B12-vitamin;C-vitamin;L-ascorbinsyre;L-dehydroascorbinsyre;Svovl, S;Chlorid, Cl;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Fosfor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Molybdæn, Mo;Cobolt, Co;Nikkel, Ni;Fluor, F;Silicium, Si;Rubidium, Rb;Aluminium, Al;Bor, B;Brom, Br;Kviksølv, Hg;Arsen, As;Cadmium, Cd;Bly, Pb;Tin, Sn;L-mælkesyre;D-mælkesyre;Mælkesyre, total;Citronsyre;Oxalsyre;Æblesyre;Eddikesyre;Benzoesyre;Sorbinsyre;Propionsyre;Organiske syrer, tot.;Histamin;Tyramin;Phenylethylamin;Putrescin;Cadaverin;Spermin;Spermidin;Serotonin;Fruktose;Galaktose;Glukose;Monosaccharider, total;Laktose;Maltose;Sakkarose;Disaccharider, total;Maltotriose;Raffinose;Andre sukkerarter;Sukkerarter, ialt;Sorbitol;Mannitol;Inositol;Maltitol;Sukkeralkoholer, total;Stivelse;IDF;SDFP;SDFS;Hexose;Pentose;Uronic Acid;Cellulose;Lignin;Crude fibre;Neutr.Det.Fibre (NDF);C4:0;C6:0;C8:0;C10:0;C12:0;C12:1,n-1;C13:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C21:0;C22:0;C23:0;C24:0;Andre mættede fedtsyrer;C14:1,n-5;C15:1;C16:1,n-7;C17:1,n-7;C18:1,n-9;C18:1,n-7;C20:1,n-9;C20:1,n-11;C22:1,n-9;C22:1,n-11;C24:1,n-9;Andre monoumættede fedtsyrer;C18:2,n-6;C18:2,conjugerede;C18:3,n-3 (ALA);C18:3,n-6;C18:4,n-3;C20:2,n-6;C22:2,n-6;C22:4,n-6;C22:5,n-6;C20:3,n-3;C20:4,n-3;C20:3,n-6;C20:4,n-6;C20:5,n-3 (EPA);C22:5,n-3;C22:6,n-3 (DHA);Andre polyumættede;C14:1,trans;C16:1,trans;C18:1,trans;C20:1,trans;C22:1,trans;C18:2,trans;Andre fedtsyrer;Sum mættede;Sum monoumættede;Sum polyumættede;Transfedtsyrer, total;Fedtsyrer, total;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Hydroxyprolin;Serin;beta-caroten;Massefylde
1291;A38, acidophilus tykmælk;0;283;67;6,38;0,765;4,9;4,8;4,5;4,5;3,5;0;0;3,5;0,945;0;0,9;13,7;86,3;23,3;22;0,1;0,1;0;0;0;0,075;0,075;0;0;0;0;0,04;0;0;0,215;1,23;0,105;0,0405;0,305;1,1;6,2;0;0,295;0,3;0,3;0;0;0,085;35,5;153;126;12,3;100;0,026;0,0145;0,54;9,05;0,007;0,09;2,85;5;0;0,385;0;0;0;0;0;0;0;0;0,002;0,089;0;0,91;0,05;0,96;0,03;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;3,52;0;0;3,52;0;0;0;3,52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,122;0,094;0,05;0,122;0,133;0;0;0,372;0,039;0,983;0;0,389;0;0;0;0;0;0;0,033;0;0,05;0;0,572;0,022;0;0;0;0;0;0;0,056;0,017;0,022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,117;0;0;0,028;0,039;2,305;0,678;0,094;0,144;3,26;0,022;0,056;13;260;505;436;122;31;237;237;214;67;344;161;130;161;390;933;107;474;0;252;15;0
1307;A38, acidophilus tykmælk, med citronsaft (HISTORISK);0;315;75;6,38;0,765;4,9;4,8;6,4;6,4;7,5;4;0;3,5;0,945;0;0,8;15,5;84,5;31,3;30;0,1;0,1;0;0;0;0,09;0,09;0;0;0;0;0,037;0;0;0,18;1,21;0,088;0,043;0,25;1,8;6,2;0;0,23;0,2;0,2;0;0;0;35,5;153;126;12,3;100;0,05;0,01;0,44;10,7;0,01;0,052;1,3;5;0;0,705;0;0;0;0;0;0;0;0;0,002;0,089;0;0,91;0,05;0,96;0,03;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;3,52;0;3,98;7,5;0;0;0;7,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,117;0,075;0,049;0,107;0,134;0;0;0,381;0;1,023;0;0,348;0;0;0;0;0;0;0,049;0;0,075;0;0,765;0;0;0,039;0;0;0;0;0,072;0;0,026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,235;0,928;0,097;0;3,26;0,026;0,072;13;260;505;436;122;31;237;237;214;67;344;161;130;161;390;933;107;474;0;252;15;0
1278;Ab-mælk, syrnet sødmælk;0;265;63;6,38;0,549;3,5;3,4;4,5;4,5;3,8;0;0;3,6;0,945;0;0,8;12,4;87,6;32,3;31;0,1;0,1;0;0;0;0,09;0,09;0;0;0;0;0,045;0;0;0,203;0,865;0,087;0,038;0,25;1,8;6;0;0,18;0,3;0,3;0;0;0;35,5;153;127;12,7;95;0,05;0,0145;0,54;10,7;0,009;0,052;1,3;3;0;2;0;0;0;0;0;0;0,03;0,3;0,002;0,089;0;0,89;0,03;0;0,02;0;0;0;0;0;0;0,94;0;0;0;0;0;0;0;0;0;0,06;0;0,06;3,78;0;0;3,78;0;0;0;3,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,122;0,078;0,051;0,112;0,139;0;0;0,398;0;1,069;0;0,364;0;0;0;0;0;0;0,051;0;0,078;0;0,798;0;0;0,041;0;0;0;0;0,075;0;0,027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,332;0,968;0,102;0;3,402;0,027;0,075;14;192;340;302;88;21;170;165;143;47;236;121;93;115;280;664;77;329;0;192;16;0
561;Aborre, rå;55;327;77;6,25;2,896;16,4;16,4;0;0;0;0;0;1,3;0,823;0;1,3;19;81;0;0;0,8;0;0;0;0;1,2;1,2;0;0;0;0;0,07;0;0;0,07;4;4;0;0;0;0;0;0;0;0;0;230;0;54;330;110;26;240;0,6;0,023;0,52;18;0,062;8,6;24;5;0,5;8;100;0,3;440;0,1;10;300;20;2,3;0,6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,032;0;0,402;0;0,095;0;0;0;0;0;0,021;0;0;0;0;0;0;0;0;0;0;0;0,434;0,053;0;0,032;0;0;0;0;0;0;0;0;0;0;0;0;0;0,407;0;0;0;0;0;0;0;0,55;0,434;0,086;0;1,07;0,032;0,053;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403;Abrikos, konserves, let sukkerlage;0;289;68;6,25;0,085;0,5;0,5;17,1;15,6;14,9;14,9;1,5;0,1;0,7;0;0,4;18,1;81,9;65,4;0;0;0;0;0;0;0,89;0,89;0;0;0;0;0,016;0;0;0,02;0,46;0,304;0,054;0,092;0;2;0;0;2,7;2,7;0;0;0;4;138;11;8;13;0,39;0,079;0,11;0;0,052;12;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0,022;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003;0,022;0,01;0;0,035;0;0,01;0;16;31;37;2;2;21;12;20;9;20;20;9;26;121;54;16;31;0;30;785;0
421;Abrikos, konserves, uden tilsat sukker;0;113;27;6,25;0,114;0,7;0,7;6,4;4,9;5,3;0;1,5;0,2;0,7;0;0,4;7,6;92,4;90,5;0;0;0;0;0;0;0,89;0,89;0;0;0;0;0,021;0;0;0,023;0,604;0,395;0,054;0,092;0;2;0;0;3,4;3,4;0;0;0;3;192;8;7;13;0,32;0,082;0,11;0;0,053;12;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,011;0;0;0;0;0;0;0;0;0;0;0;0;0,069;0;0;0;0;0;0;0;0,032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,011;0,069;0,032;0;0,112;0;0,032;0;22;41;49;3;2;29;16;26;13;26;27;11;35;162;72;22;42;0;40;1090;0
524;Abrikos, rå;12;170;40;6,25;0,209;1,3;1,3;8,9;7,3;7,3;0;1,6;0,3;0,7;0;0,7;11,2;88,8;131;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0,04;0,834;0,6;0,054;0,24;0;9;0;0;10;10;0;0;0;1;259;14,2;10;21,9;0,39;0,078;0,2;0;0,077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;1,32;0;0;0;0;0;0;0;0;0;0,018;0;0,002;0;0;0;0;0;0;0;0;0;0;0,13;0;0;0;0;0;0;0;0,059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0,13;0,059;0;0,21;0;0,059;0;38;71;90;6;3;48;27;44;14;44;42;25;63;293;146;38;94;0;77;1570;0
458;Abrikos, tørret;0;1043;248;6,25;0,565;3,5;3,5;64,4;55,1;43,3;0;9,3;1,7;0,8;0;2,8;72,4;27,6;199;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0,06;3,09;2,8;0,17;0,7;1;14;10;0;1;1;0;0;0;21;1030;67,5;41;65,7;6;0,27;0,2;3,4;0,235;80;2,2;0;0;120;0;0;0;0;0;0;0,2;0,5;1,2;2,6;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0,06;15,6;0;20,3;35,9;0;0;7,4;7,4;0;0;0;43,3;12,9;0;0;0;12,9;0;0;0;0;0;0;0;0;0;2,95;0;0;0;0;0;0;0;0;0;0;0,118;0;0,017;0;0;0;0;0;0;0;0;0;0;0,844;0;0;0;0;0;0;0;0,381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,135;0,844;0,381;0;1,36;0;0,381;0;96;164;141;23;2;96;44;79;18;141;73;54;124;700;147;85;938;0;113;2390;0
803;Abrikosmarmelade;0;938;221;6,25;0,064;0,4;0,4;55;53,7;53,7;46;1,3;0,2;0,8;0;0,4;56;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,16;0;0;0;12;22;28;2;1;15;8;13;4;13;13;8;19;90;45;12;29;0;24;0;0
388;Agurk, rå;3;50;12;6,25;0,115;0,7;0,7;2,6;1,8;1,6;0;0,8;0;0,8;0;0,4;3,7;96,3;5,17;0;0;0;0;0;0;0,0467;0,0467;0;0;0;16,4;0,0147;0;0;0,0132;0,27;0,184;0,036;0,15;0,787;17,6;0;0;10,4;9,1;1,31;0;0;2,41;147;17,7;9,53;27,4;0,197;0,0269;0,126;0,498;0,0944;0;0,0326;0;0;0,561;0;0;0;0;0;0;0;0,245;0,0394;0,115;0;0;0;0;0;0;0;0;0,03;0;0;0;0,01;0;0;0;0;0;0;0,003;0,874;0;0,682;1,56;0;0;0;0;0;0;0;1,56;0;0;0;0;0;0;0;0;0;0,17;0,07;0,27;0,39;0,03;0;0;0;0;0;0;0;0;0;0;0;0,007;0;0,001;0;0;0;0;0;0;0;0;0;0;0,001;0;0;0;0;0;0;0;0,006;0;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008;0,001;0,011;0;0,02;0,005;0,006;0;18;28;23;9;2;17;10;16;5;22;28;8;23;40;225;25;13;0;25;62;0
